English,Bangla,Marma,label
I hate you.,আমি আপনাকে ঘৃণা করি,ঙা কোগো মুংরে,neg
I love you.,আমি তোমায় ভালোবাসি,ঙা নাক্ কো ক্রতে,pos
I am in love.,আমি প্রেমে পড়েছি,চুই মা আখ্য রউরে,pos
I am sorry.,আমি দুঃখিত,ঙা গো খোয়ং হ্রুওয়ে,neg
I am very sorry.,আমি খুবই দুঃখিত,ঙা গা খোয়ং হ্রুওয়ে,neg
How are you?,আপনি কেমন আছেন,আকং হিঃরিল?,ntr
I am fine.,আমি ভালো আছি,ঙা আকং হিরি,pos
I miss you.,আমার আপনাকে মনে পরছে,ঙা কোগো তোওড়ারেয়,neg
That is very bad.,ওটা খুব খারাপ,য়াচা তিফিবাং ম্কং,neg
Get well soon.,শীঘ্রই সুস্থ হয়ে উঠুন,আয়াং কেন্থা আকং ফ্রপ থা,pos
I can't stop.,আমি থামতে পারি না,ঙা টেংহো ম্টে,pos
I can't hear you.,আমি তোমাকে শুনতে পাচ্ছি না,ঙা নাাং প্রচাগো ম্ক্রা,ntr
You are late.,তুমি দেরী কোরেছো,নাং ক্রাফাব্যা,ntr
Who is that man?,ঐ লোকটি কে?,থো্চা আসুলেই,ntr
Who built that?,ঐটা কে নির্মাণ করেছিলো?,ইচা আসু লুচা লেই?,ntr
They hit.,তারা আঘাত করেছিল,আসু বুড়েয় লে?,ntr
She got angry.,সে রেগে গেল,য়াসু মেং তাউব্যা,neg
She is a teacher.,সে একজন শিক্ষিকা,য়াসুু ত্যঃ ছ্রামা/চাখ্যাসা মা,ntr
Don't worry.,কোন চিন্তা করো না,নাং ওউই ম্ছাগ্যে,pos
I am very happy.,আমি অত্যন্ত খুশি,ঙা আমা প্য় রেয়,pos
I can swim.,আমি সাঁতার কাটতে পারি,ঙা র্গু খেহো তেতি,ntr
I can run.,আমি চালাতে সক্ষম,ঙা সালে ন্হেং রেয়,ntr
I can't come.,আমি আসতে পারব না,ঙা ম্লেন্হেং/ ঙা লেহো ম্নংই,ntr
She was alone.,তিনি একা ছিলেন,য়াঃসু নুং খ্যাং হিঃরেলেয়,neg
She was brave.,তিনি সাহসী ছিল,য়াসু ম্ক্র ম্লেং হিঃরেলেয়,pos
She likes swimming.,তিনি সাঁতার কাটতে পছন্দ করেন,য়াঃসু র্গু খেহো আমা সায়ারেয়,pos
Don't be angry.,রাগ করো না,মেং ম্তাঃক্যে,pos
Don't be sad.,দু: খিত হবেন না,অউ ম্স্যুক্যে,pos
Can you come?,তুমি কি আসতে পারবে?,নাং লেনহেং হোলঃ?,ntr
Can I help you?,আমি কি সাহায্য করতে পারি?,ঙা কুহু নুইং হোলঃ?,pos
Are you hungry?,তুমি কী ক্ষুধার্ত?,ঙা মওয়ে্প ল?,ntr
Are you going?,তুমি কি যাচ্ছ?,নাং লারেয় ব্যা ল,ntr
Are you crazy?,তুমি কি পাগল?,নাং আরোউ ল,neg
Are you serious?,তুমি কি সিরিয়াস?,নাং আম্হেং ল?,neg
Can I help you?,আমি কি তোমাকে সাহায্য করতে পারি?,ঙা নাঃকো কুহু নুইং হোলঃ?,pos
Can you tell me?,আপনি কি আমাকে বলতে পারেন?,কো ঙা গো ফ্র ন্হেংরেয় ল?,ntr
Can you hear me?,তুমি কি আমার কথা শুনতে পাচ্ছ?,নাং ঙা চাগা ক্রারেয় ল?,ntr
Do you smoke?,তুমি কি ধুমপান কর,নাং ছুঁইলি সউতে ল?,ntr
Have you eaten?,তুমি কি খেয়েছ?,নাং চা ব্যা ল?,ntr
Can she run fast?,সে দ্রুত দৌড়াতে পারে,য়াসু অম্ ব্রি নহেং রেয়,ntr
Have you finished?,তুমি কি শেষ করেছ?,নাঃমা টুংব্যা ল?,ntr
She started running.,সে দৌড়াতে শুরু করল,য়াসু ব্রিইহো চাঃব্যা,ntr
She didn't speak.,তিনি কথা বলেননি,য়াসু চাগা ম্প্রলি,ntr
Her eyes were blue.,তার চোখ নীল,য়াসু মা ক্রোং ম্ক্রযাচি,ntr
Her smile was good.,তার হাসি ভাল ছিল,য়াসু রেছা হ্লারে,pos
How is your life going?,আপনার জীবন কেমন চলছে?,কো মা আঃসা ম্জং লারে লে?,ntr
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে?,নাং রোমা ইংসা রোনা ম্জং লে?,ntr
I am a student.,আমি একজন ছাত্র,ঙা ত্য চা ফেসা,ntr
I am going to study.,আমি পড়াশোনা করতে যাচ্ছি,ঙা চা ফেচং লারেয়,ntr
I am not a teacher.,আমি একজন শিক্ষক নই,ঙা ত্যউ চা খ্যাসা ম্হ,ntr
I trust you.,আমি তোমাকে বিশ্বাস করি,ঙা না্ক কো ক্যুং রে,pos
I can do this.,আমি এই কাজ করতে পারি, ঙা ই অ্লুঃ লু ন্হেংরে,ntr
I can run fast.,আমি দ্রুত দৌড়াতে পারি,ঙা অ্মঃ ব্রি ন্হেং রে,ntr
I can't believe it.,আমি এটা বিশ্বাস করতে পারছি না,ঙা ইচা ম্ক্যুং ন্হেং ,ntr
It's a long story.,এটি একটি দীর্ঘ গল্প,ইচা ত্খু অ্হ্রিথং  ওয়েথু,ntr
It looks like a bird.,এটা একটি পাখির মত দেখায়,ইচা ন্হাক্ ন্ঞং ম্রাংরারে,pos
It really takes time.,এটা সত্যিই সময় লাগে,ইচা অ্কংকং আখ্যিং লুরেয়,ntr
It was really cheap.,এটা সত্যিই সস্তা ছিল,ইচা অ্কংকং এ্তেং হিলিরে ,ntr
It was so noisy.,এটা তাই কোলাহলপূর্ণ ছিল,ইচা য়জং কিজু ক্যক্যছাব হি্লিরে,neg
It was very difficult.,এটা খুব কঠিন ছিল,ইচা আমা খাঃখ্যে লিরে,neg
It wasn't expensive.,এটা ব্যয়বহুল ছিল না,ইচা আতেং মি্হিলি,ntr
It wasn't necessary.,এটা প্রয়োজন ছিল না,ইচা আ্লো ম্হিলি,ntr
Let me check.,যাচাই করতে দাও,ক্রিহো পি,ntr
Let me see.,আমাকে দেখতে দাও,ঙা গো ক্রিহো পি,ntr
