English,Bangla,Marma
I hate you.,আমি আপনাকে ঘৃণা করি,ঙা কোগো মুংরে
I love you.,আমি তোমায় ভালোবাসি,ঙা নাক্ কো ক্রতে
I am in love.,আমি প্রেমে পড়েছি,চুই মা আখ্য রউরে
I am sorry.,আমি দুঃখিত,ঙা গো খোয়ং হ্রুওয়ে
I am very sorry.,আমি খুবই দুঃখিত,ঙা গা খোয়ং হ্রুওয়ে
How are you?,আপনি কেমন আছেন,আকং হিঃরিল?
I am fine.,আমি ভালো আছি,ঙা আকং হিরি
I miss you.,আমার আপনাকে মনে পরছে,ঙা কোগো তোওড়ারেয়
That is very bad.,ওটা খুব খারাপ,য়াচা তিফিবাং ম্কং
Get well soon.,শীঘ্রই সুস্থ হয়ে উঠুন,আয়াং কেন্থা আকং ফ্রপ থা
I can't stop.,আমি থামতে পারি না,ঙা টেংহো ম্টে
I can't hear you.,আমি তোমাকে শুনতে পাচ্ছি না,ঙা নাাং প্রচাগো ম্ক্রা
You are late.,তুমি দেরী কোরেছো,নাং ক্রাফাব্যা
Who is that man?,ঐ লোকটি কে?,থো্চা আসুলেই
Who built that?,ঐটা কে নির্মাণ করেছিলো?,ইচা আসু লুচা লেই?
They hit.,তারা আঘাত করেছিল,আসু বুড়েয় লে?
She got angry.,সে রেগে গেল,য়াসু মেং তাউব্যা
She is a teacher.,সে একজন শিক্ষিকা,য়াসুু ত্যঃ ছ্রামা/চাখ্যাসা মা
Don't worry.,কোন চিন্তা করো না,নাং ওউই ম্ছাগ্যে
I am very happy.,আমি অত্যন্ত খুশি,ঙা আমা প্য় রেয়
I can swim.,আমি সাঁতার কাটতে পারি,ঙা র্গু খেহো তেতি
I can run.,আমি চালাতে সক্ষম,ঙা সালে ন্হেং রেয়
I can't come.,আমি আসতে পারব না,ঙা ম্লেন্হেং/ ঙা লেহো ম্নংই
She was alone.,তিনি একা ছিলেন,য়াঃসু নুং খ্যাং হিঃরেলেয়
She was brave.,তিনি সাহসী ছিল,য়াসু ম্ক্র ম্লেং হিঃরেলেয়
She likes swimming.,তিনি সাঁতার কাটতে পছন্দ করেন,য়াঃসু র্গু খেহো আমা সায়ারেয়
Don't be angry.,রাগ করো না,মেং ম্তাঃক্যে
Don't be sad.,দু: খিত হবেন না,অউ ম্স্যুক্যে
Can you come?,তুমি কি আসতে পারবে?,নাং লেনহেং হোলঃ?
Can I help you?,আমি কি সাহায্য করতে পারি?,ঙা কুহু নুইং হোলঃ?
Are you hungry?,তুমি কী ক্ষুধার্ত?,ঙা মওয়ে্প ল?
Are you going?,তুমি কি যাচ্ছ?,নাং লারেয় ব্যা ল
Are you crazy?,তুমি কি পাগল?,নাং আরোউ ল
Are you serious?,তুমি কি সিরিয়াস?,নাং আম্হেং ল?
Can I help you?,আমি কি তোমাকে সাহায্য করতে পারি?,ঙা নাঃকো কুহু নুইং হোলঃ?
Can you tell me?,আপনি কি আমাকে বলতে পারেন?,কো ঙা গো ফ্র ন্হেংরেয় ল?
Can you hear me?,তুমি কি আমার কথা শুনতে পাচ্ছ?,নাং ঙা চাগা ক্রারেয় ল?
Do you smoke?,তুমি কি ধুমপান কর,নাং ছুঁইলি সউতে ল?
Have you eaten?,তুমি কি খেয়েছ?,নাং চা ব্যা ল?
Can she run fast?,সে দ্রুত দৌড়াতে পারে,য়াসু অম্ ব্রি নহেং রেয়
Have you finished?,তুমি কি শেষ করেছ?,নাঃমা টুংব্যা ল?
She started running.,সে দৌড়াতে শুরু করল,য়াসু ব্রিইহো চাঃব্যা
She didn't speak.,তিনি কথা বলেননি,য়াসু চাগা ম্প্রলি
Her eyes were blue.,তার চোখ নীল,য়াসু মা ক্রোং ম্ক্রযাচি
Her smile was good.,তার হাসি ভাল ছিল,য়াসু রেছা হ্লারে
How is your life going?,আপনার জীবন কেমন চলছে?,কো মা আঃসা ম্জং লারে লে?
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে?,নাং রোমা ইংসা রোনা ম্জং লে?
I am a student.,আমি একজন ছাত্র,ঙা ত্য চা ফেসা
I am going to study.,আমি পড়াশোনা করতে যাচ্ছি,ঙা চা ফেচং লারেয়
I am not a teacher.,আমি একজন শিক্ষক নই,ঙা ত্যউ চা খ্যাসা ম্হ
I trust you.,আমি তোমাকে বিশ্বাস করি,ঙা না্ক কো ক্যুং রে
