English,Bangla,Marma,label
His room is twice as big as mine.,তার রুম আমার চেয়ে দ্বিগুণ বড়,ত ঙাচা থা ন্হপ্রেং সেংরে,ntr
How can I help you?,আমি কীভাবে তোমাকে সাহায্য করতে পারি?,ঙা হোলে? মজং প্যাংবো কুনহেং নাকো,pos
No one was in the garden,বাগানে কেউ ছিল না,মা ত্যক্পাং,neg
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা কো নাক্ অ্কংকং অউমিংরে,neg
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,নাগ মা নারেলে আডে,neg
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা কো অ্কংকং,neg
They stopped talking,তাদের কথা বলা বন্ধ,য়াসু চ্গা মা,neg
See you next year,সামনের বছর দেখা হবে,লেমে মা আ্তুই ক্যামে,ntr
Thanks for the compliment.,প্রশংসার জন্য ধন্যবাদ,ম্হ্রচা কিজু কিজুটাংরে,pos
"No, I will eat later.","না, আমি পরে খাব","নঃউকা ইন্হি, চাহো",neg
Have a nice day!,একটি ভালো দিন কাটুক!,ত্রা্ক আহ্লাপা নিং বে চি,pos
I have no idea,আমার কোন ধারণা নাই,ত্খোবাং মি্সি,neg
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,নাগ আডে মা,neg
I trust you.,আমি তোমাকে বিশ্বাস করি,রে না্ক কো ক্যুং,pos
I am fine.,আমি ভালো আছি,আকং ঙা হিরি,pos
Her smile was good.,তার হাসি ভাল ছিল,রেছা হ্লারে,pos
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,নারেলে মা আডে নাগ,neg
Please give me your hand.,দয়া করে আমাকে আপনার হাত দিন,কো আলাউগ পি,pos
See you soon,শীঘ্রই আবার দেখা হবে,প্রেংব আয়ং আতুই ক্যামে,ntr
His eyes were on me.,তার দৃষ্টি আমার দিকে ছিল,য়াসু ঙাগো আমা ক্রিরি,ntr
Are you crazy?,তুমি কি পাগল?,নাং আরোউ ল,neg
Will you dance with me?,তুমি কি আমার সাথে নাচবে?,নাং কাহোল?,ntr
Do you smoke?,তুমি কি ধুমপান কর,সউতে ছুঁইলি নাং ল?,ntr
They stopped talking,তাদের কথা বলা বন্ধ,মা য়াসু তুংব্যা,neg
Where is my lungi?,আমার লুঙ্গি কোথায়?,ঙা্ক লঙ্গি জামালে?,ntr
His proposal was accepted in the meeting.,সভায় তার প্রস্তাব গৃহীত হয়,মিটিং মা য়াসু ফ্ররে চ্গা,pos
Where does it hurt?,এটা কোথায় ব্যাথা করে?,আড়া জা মা লে?,neg
She got angry.,সে রেগে গেল,য়াসু মেং,neg
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা অউমিংরে কো অ্কংকং নাক্,neg
You made me happy,তুমি আমাকে খুশি করেছো,নাং ঙা গো অপ্য পিরে,pos
Thanks for the information.,তথ্যের জন্য ধন্যবাদ,স্ডাং কিজুটাংরে,pos
I am angry with him.,আমি তার সাথে রাগান্বিত,তাউতে য়াসু গো মেং ঙা,neg
I am fine.,আমি ভালো আছি,আকং হিরি,pos
I'm crazy with you.,আমি তোমার সাথে পাগল,নাক্ লা ব রুউরে,neg
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,আওকং প্যাংহো কিজু এর্মা হীরে সমস্যা,neg
Do you love me or not?,তুমি আমাকে ভালোবাসো কি না,ঙা নাং গো ক্রোতি ল ম্ক্র ল,pos
I can't see anything,আমি কিছুই দেখতে পাচ্ছি না,ত্খু্বাং ম্রাং,ntr
I don't like it,আমি এটা পছন্দ করি না,ঙা মা্সায়া,neg
I have no idea,আমার কোন ধারণা নাই,মি্সি ঙা ত্খোবাং,neg
Please go to school.,অনুগ্রহ করে স্কুলে যান,ক্যাং দু লালি,pos
Have a nice day!,একটি ভালো দিন কাটুক!,ত্রা্ক আহ্লাপা নিং চি বে,pos
They have some books,তাদের কিছু বই আছে,চাঊঃ মা য়াস্রোু ল্য়ংক্খো হিরি,ntr
Don't be sad.,দু: খিত হবেন না,অউ ম্স্যুক্যে,pos
This story is true,এই গল্প সত্য,ওয়েঠু আ্কং ইচা,pos
I am hungry.,আমি ক্ষুধার্ত,ঙা মইপঃ,ntr
Are you serious?,তুমি কি সিরিয়াস?,ল? আম্হেং নাং,neg
Thanks for the information.,তথ্যের জন্য ধন্যবাদ,কিজুটাংরে কিজু স্ডাং,pos
There have been five murders this month,এই মাসে পাঁচটি খুনের ঘটনা ঘটেছে,ইলামা এসেএওয়ব্যে ফ্রকেরে,neg
Have a good time.,একটি ভাল সময় আছে,ট্খু্ক আকং আখ্যিং হিরে,pos
Why were you late this morning?,তুমি আজ সকালে দেরি করলে কেন?,নাং গ্নি খরুইকা আস্যা ক্রাব লেটেলে?,ntr
Do you need this book?,তোমার কি এই বইটা দরকার?,নাক্ লু ই চাক্উঃ মা হো ল?,ntr
He praised him.,সে তাকে তারিফ করেছিল,অ্কং ঠুসুগো য়াসু প্রবঃয়ে,pos
Why were you late this morning?,তুমি আজ সকালে দেরি করলে কেন?,নাং লেটেলে? খরুইকা ক্রাব আস্যা গ্নি,ntr
Please give it to me.,দয়া করে আমাকে দিন,পি ত্খ্যাঃ ঙাগো য়াচা,pos
Will you stop talking?,তুমি কি কথা বলা বন্ধ করবে?,নাং প্রহো ইংচা তেংহো ল,neg
How are you?,তোমার কী অবস্থা,ম্জংহীরে লে,ntr
When will you cut your wheat?,তুমি কখন তোমার গম কাটবে?,নং গং রুইহুলে?,neg
Are you going?,তুমি কি যাচ্ছ?,নাং ব্যা লারেয় ল,ntr
I am lost,আমি হারিয়ে গিয়েছি।,ঙা ফাব্যা,neg
Don't worry.,কোন চিন্তা করো না,নাং ম্ছাগ্যে,pos
I can run.,আমি চালাতে সক্ষম,ঙা সালে রেয়,ntr
"No, I will eat later.","না, আমি পরে খাব","ইন্হি, ঙা নঃউকা চাহো",neg
Is the job still available?,চাকরি কি এখনও পাওয়া যায়?,আগু লে সৌ রারে ল?,ntr
This is not a joke,এটি তামাশা না,ইচা ম্হক্,neg
Tell me something about your family,আপনার পরিবার সম্পর্কে কিছু বলেন,কো রো ইংসা ইউব গো তখুমসা প্র,ntr
There was a sudden change in the weather,আবহাওয়ার হঠাৎ পরিবর্তন ছিল,লি প্পপাং পয়াংব হ্লিরি,ntr
